CODIGO;NOMBRE;CATEGORIA;TECNOLOGIA;ALTITUD;LATITUD;LONGITUD;DEPARTAMENTO;MUNICIPIO;AREA_HIDROGRAFICA;ZONA_HIDROGRAFICA;SUBZONA_HIDROGRAFICA
35090050;VISTA HERMOSA [35090050];Pluviométrica;Convencional;1200;5.0035;-73.04972222;Boyacá;Campohermoso;Orinoco;Meta;Río Upía
35090060;CAZADERO [35090060];Pluviométrica;Convencional;1725;5.2833333330;-72.98333333;Boyacá;Aquitania;Orinoco;Meta;Río Upía
35090070;GUAMO DE SISBACA [35090070];Pluviométrica;Convencional;2575;5.3666666670;-72.91666667;Boyacá;Aquitania;Orinoco;Meta;Río Upía
35090110;DON ANTONIO [35090110];Pluviométrica;Convencional;324;4.755770;-73.002430;Casanare;Sabanalarga;Orinoco;Meta;Río Túa y otros directos al Meta
35095010;AQUITANIA [35095010];Climática Ordinaria;Convencional;321;5.5333333330;-72.88333333;Boyacá;Aquitania;Orinoco;Meta;Lago de Tota
35095020;DON ANTONIO CAMELI [35095020];Climática Principal;Convencional;300;4.6833333330;-73.03333333;Casanare;Sabanalarga;Orinoco;Meta;Río Upía
35095030;TUNEL EL [35095030];Climática Ordinaria;Convencional;30;5.5749138890;-72.94769444;Boyacá;Cuítiva;Magdalena Cauca;Sogamoso;Río Chicamocha
35095110;HUERTA LA GRANDE [35095110];Climática Principal;Automática con Telemetría - Convencional;352;4.651470;-72.915470;Casanare;Villanueva;Orinoco;Meta;Río Túa y otros directos al Meta
35095120;AQUITANIA - AUT [35095120];Climática Principal;Automática con Telemetría;3026;5.556630;-72.881750;Boyacá;Aquitania;Orinoco;Meta;Lago de Tota
35095130;LAGUNA LA PLAZA [35095130];Climática Principal;Automática con Telemetría;4378;6.3620;-72.28201667;Arauca;Saravena;Orinoco;Casanare;Río Casanare
35097010;DESAGUADERO [35097010];Limnimétrica;Convencional;37;5.487250;-72.93411111;Boyacá;Aquitania;Orinoco;Meta;Lago de Tota
35097020;CANAL DESVIACION [35097020];Limnimétrica;Convencional;32;5.5166666670;-72.93333333;Boyacá;Aquitania;Orinoco;Meta;Lago de Tota
35097030;HATO LAGUNA [35097030];Limnimétrica;Convencional;320;5.5858333330;-72.8985;Boyacá;Aquitania;Orinoco;Meta;Lago de Tota
35097040;DESAGUADERO [35097040];Limnimétrica;Convencional;32;5.55;-72.91666667;Boyacá;Aquitania;Orinoco;Meta;Lago de Tota
35097050;CRIADERO [35097050];Limnimétrica;Convencional;325;5.557750;-72.87988889;Boyacá;Aquitania;Orinoco;Meta;Lago de Tota
35097070;ESCALERAS [35097070];Limnimétrica;Convencional;3019;5.4919444440;-72.9385;Boyacá;Tota;Orinoco;Meta;Lago de Tota
35097080;CEIBAL EL [35097080];Limnimétrica;Automática con Telemetría - Convencional;700;5.0813888890;-73.03416667;Boyacá;Páez;Orinoco;Meta;Río Upía
35097090;LA REVENTONERA [35097090];Limnigráfica;Convencional;451;4.9049722220;-73.0476111110;Casanare;Sabanalarga;Orinoco;Meta;Río Upía
35097100;MOMBITA PUENTE ROMERA [35097100];Limnigráfica;Convencional;1216;5.25;-72.95;Boyacá;Aquitania;Orinoco;Meta;Río Upía
35097220;AQUITANIA [35097220];Limnimétrica;Convencional;335;5.5166666670;-72.88333333;Boyacá;Aquitania;Orinoco;Meta;Lago de Tota
35100020;CABUYARO [35100020];Pluviométrica;Convencional;180;4.28;-72.79;Meta;Cabuyaro;Orinoco;Meta;Directos al Río Meta entre ríos Humea y Upia (mi)
35105010;GUADUALITO [35105010];Meteorológica Especial;Convencional;250;4.4333333330;-72.96666667;Meta;Cabuyaro;Orinoco;Meta;Directos al Río Meta entre ríos Humea y Upia (mi)
35105020;BARRANCA DE UPIA [35105020];Climática Ordinaria;Convencional;225;4.5666666670;-72.96666667;Meta;Barranca De Upía;Orinoco;Meta;Directos al Río Meta entre ríos Humea y Upia (mi)
35105030;CABUYARO [35105030];Meteorológica Especial;Convencional;180;4.2837222220;-72.79283333;Meta;Cabuyaro;Orinoco;Meta;Directos al Río Meta entre ríos Humea y Upia (mi)
35105040;PETRIBA [35105040];Climática Ordinaria;Convencional;175;4.3833333330;-72.90;Meta;Barranca De Upía;Orinoco;Meta;Río Upía
35105050;GUAICARAMO [35105050];Climática Ordinaria;Convencional;206;4.468650;-72.953640;Meta;Barranca De Upía;Orinoco;Meta;Directos al Río Meta entre ríos Humea y Upia (mi)
35107010;PUENTE CABUYARITO [35107010];Limnimétrica;Convencional;168;4.2956388890;-72.86561111;Meta;Cabuyaro;Orinoco;Meta;Directos al Río Meta entre ríos Humea y Upia (mi)
