Archivo,Nombre estacion,Variable,Fecha inicio,Fecha fin
descargaDhime(56).csv,AEROPUERTO E. CORTISSOZ - AUT [29045190],Día pluviométrico,1941-01-01,1961-09-28
descargaDhime(57).csv,AEROPUERTO E. CORTISSOZ - AUT [29045190],Día pluviométrico,1961-09-29,1990-09-28
descargaDhime(58).csv,AEROPUERTO E. CORTISSOZ - AUT [29045190],Día pluviométrico,1990-09-29,2019-09-29
